1,btc,0.82%,58191.11
2,eth,0.11%,2069.39
3,bnb,7.27%,444.66
4,xrp,4.85%,1.03
5,usdt,0.01%,1.00
6,ada,-1.08%,1.20
7,dot,-0.60%,40.55
8,uni,-0.09%,29.76
9,ltc,-0.50%,224.11
10,link,-1.97%,31.91
11,theta,-3.70%,12.55
12,bch,0.61%,637.67
13,fil,11.00%,170.99
14,xlm,-1.67%,0.48211
15,usdc,0.18%,1.00
16,trx,-2.97%,0.11776
17,wbtc,0.84%,58167.40
18,vet,11.44%,0.128008
19,doge,0.58%,0.061373
20,klay,1.15%,3.18
21,sol,7.19%,28.41
22,btt,0.08%,0.009109
23,eos,-1.90%,6.20
24,iota,0.97%,1.91
25,cro,4.15%,0.209852
26,xmr,3.87%,280.66
27,bsv,7.46%,261.14
28,busd,0.05%,1.00
29,xtz,7.31%,6.16
30,luna,2.11%,16.26
31,ftt,1.86%,49.34
32,aave,-1.45%,362.10
33,atom,1.64%,20.86
34,neo,-1.13%,61.56
35,avax,-1.27%,30.92
36,ksm,-1.29%,448.04
37,algo,3.18%,1.41
38,holo,-5.21%,0.021847
39,xem,-2.28%,0.404428
40,cake,8.58%,22.43
42,egld,3.77%,186.71
43,dai,0.00%,1.00
44,ctc,-9.31%,5.52
45,enj,10.56%,3.60
46,dash,2.00%,271.40
47,hbar,7.52%,0.345073
48,chz,-3.86%,0.480029
49,dcr,1.42%,190.29
50,zil,1.89%,0.210631
51,comp,-2.05%,458.95
52,snx,-0.95%,19.85
53,zec,6.65%,194.84
54,near,-2.26%,6.47
55,mkr,1.15%,2218.79
56,bat,16.25%,1.48
57,etc,-2.04%,18.81
58,grt,0.54%,1.76
59,brg,0.59%,0.262442
60,leo,-0.41%,2.10
61,tfuel,-2.09%,0.372998
62,waves,32.13%,17.99
63,sushi,-0.07%,14.56
64,matic,0.97%,0.361913
65,cel,-2.62%,7.47
66,ust,-0.31%,0.994
67,btg,4.01%,96.95
68,yfi,-3.90%,46211.78
69,zrx,22.14%,2.22
70,npxs,-0.01%,0.00703
71,ont,8.70%,2.05
72,mana,4.96%,1.04
73,nexo,3.42%,2.89
74,rvn,0.82%,0.187964
75,icx,7.30%,2.67
76,qtum,-4.09%,15.38
77,uma,2.21%,25.07
78,one,-3.13%,0.157116
79,blockstack,5.49%,2.00
80,dent,-9.32%,0.015109
82,dfi,3.55%,3.44
83,omg,0.35%,9.71
84,kcs,34.59%,16.77
85,hnt,-5.73%,16.68
86,bnt,-0.86%,7.33
87,dgb,2.51%,0.086391
88,flow,2.23%,35.83
89,ftm,4.22%,0.467194
90,okb,0.84%,19.41
91,ankr,6.05%,0.161322
92,chsb,-4.61%,1.09
93,ren,-0.19%,1.04
94,rsr,-3.36%,0.07897
95,cfx,1.26%,1.26
97,1inch,-1.29%,6.15
98,btmx,0.63%,1.25
99,pax,0.01%,1.00
100,celo,-1.60%,4.44
101,iost,-0.27%,0.053521
102,lsk,8.15%,6.91
103,wrx,-7.70%,3.64
104,ogn,-7.89%,2.90
105,crv,-1.88%,3.00
106,mdx,1.04%,4.18
107,zen,0.66%,72.85
108,nano,3.36%,5.90
109,ckb,-2.02%,0.030968
110,ocean,0.29%,1.77
111,nkn,44.02%,1.24
112,xvg,-5.48%,0.043645
113,knc,3.24%,3.47
114,zks,7.52%,3.49
115,lrc,-1.09%,0.5574
116,bcha,11.78%,36.39
117,storj,-1.12%,2.58
118,renbtc,0.99%,53210.47
119,stmx,-0.77%,0.073893
120,mir,22.65%,11.41
121,lpt,-5.26%,28.32
122,hedg,5.50%,1.68
123,xvs,8.14%,62.53
124,snt,11.25%,0.166382
125,rep,5.31%,51.56
126,bcd,-4.98%,3.03
127,glm,8.76%,0.565607
128,maid,-4.75%,1.23
129,kin,-8.09%,0.00036
130,fet,13.83%,0.716319
131,kmd,4.70%,4.20
132,ewt,-5.80%,17.33
133,win,-12.21%,0.001656
134,qnt,7.46%,41.56
135,etn,-5.73%,0.028009
136,iotx,4.38%,0.051632
137,sand,3.49%,0.709741
138,ant,4.49%,12.12
139,fun,1.61%,0.044572
140,lina,4.26%,0.125115
141,skl,-0.71%,0.66855
142,dodo,4.99%,3.97
143,steem,17.46%,1.16
144,reef,1.87%,0.038051
145,alpha,-3.69%,1.71
146,orbs,4.14%,0.1888
147,keep,23.65%,0.8351
148,kava,-5.51%,7.09
149,ardr,24.01%,0.410844
150,agi,-0.89%,0.466275
151,cvc,6.56%,0.601696
152,ethos,-1.46%,4.10
153,sxp,-2.49%,4.66
154,celr,1.65%,0.069829
155,ark,14.60%,2.96
156,nmr,9.91%,76.44
157,bts,1.72%,0.124507
158,wnxm,3.75%,58.47
159,bal,-1.19%,52.57
160,orn,3.29%,17.40
161,srm,19.68%,7.24
162,band,0.27%,17.58
163,badger,4.64%,41.83
164,woo,8.35%,0.94544
165,axs,3.94%,8.04
166,mtl,3.53%,5.20
167,tel,-4.06%,0.006686
168,solo,0.50%,1.65
169,poly,15.98%,0.535305
170,strax,-4.07%,2.47
171,wan,0.47%,1.87
172,klv,2.41%,0.09297
173,jst,0.84%,0.139063
174,sfp,0.33%,2.86
175,rndr,20.97%,1.91
176,tusd,0.20%,1.00
177,audio,-6.81%,2.44
178,htr,3.38%,1.62
179,oxt,-0.82%,0.7947
180,noia,12.62%,0.788871
181,rose,-1.46%,0.19151
182,ubt,-0.08%,1.90
183,ray,14.32%,10.56
184,trac,3.52%,0.779964
185,anc,5.48%,5.39
186,utk,-0.96%,0.6182
187,super,-8.46%,2.69
188,kai,15.75%,0.1324
189,ava,2.04%,5.41
190,pols,7.27%,4.16
191,coti,0.67%,0.39212
192,btm,7.25%,0.183875
193,hive,8.71%,0.6624
194,ppt,5.88%,4.89
195,troy,-1.22%,0.02851
196,maro,9.81%,0.5305
197,bora,4.52%,0.297281
198,powr,15.93%,0.578944
199,tomo,0.82%,3.12
200,gno,2.43%,167.12
201,elf,12.28%,0.459586
202,prq,8.83%,2.24
203,qkc,0.82%,0.038405
204,rif,-0.93%,0.350121
205,usdn,0.26%,1.00
206,xhv,6.88%,17.04
207,mft,5.07%,0.024255
208,tko,-12.76%,2.23
209,sys,1.95%,0.396738
210,bake,18.53%,1.33
211,rlc,2.14%,2.97
212,inj,1.06%,14.66
213,dawn,19.55%,3.86
214,eps,34.08%,4.84
216,dka,12.21%,0.281693
217,aion,5.91%,0.450972
218,mco,33.52%,14.18
219,carry,13.77%,0.027943
220,alice,-1.41%,12.69
221,rdd,1.82%,0.007642
222,lyxe,-4.55%,14.48
223,iris,5.56%,0.219989
224,scrt,-6.17%,3.04
225,ampl,1.59%,0.99326
226,akro,0.96%,0.07813
228,litentry,10.66%,11.53
229,spi,-4.00%,213.87
230,wax,5.83%,0.242576
231,sun,3.64%,40.79
232,mlk,2.10%,2.56
233,loom,7.68%,0.200158
234,perp,-0.74%,8.87
235,mask,-0.66%,19.48
236,spnd,0.00%,0.072698
237,dia,-5.06%,4.67
238,uqc,2.67%,18.01
239,twt,-0.45%,0.7146
240,dnt,-2.25%,0.297303
241,pond,-5.11%,0.24245
242,ela,5.42%,9.31
243,data,-4.60%,0.20377
244,bcn,-0.90%,0.000958
245,vai,-0.35%,0.902749
246,ctsi,-5.64%,0.554994
247,adx,9.86%,1.48
248,bzrx,-5.99%,0.8844
249,shr,-4.44%,0.075686
250,pha,9.47%,0.941162
252,grs,112.67%,2.14
253,lamb,9.47%,0.111132
254,lon,3.30%,7.15
255,flm,13.10%,1.08
256,ramp,-1.05%,0.6876
257,chr,1.65%,0.368632
258,mbl,4.49%,0.02539
259,uos,4.61%,0.55129
260,wtc,-2.87%,2.17
261,vra,4.13%,0.040328
262,blz,-7.01%,0.547017
263,req,0.77%,0.155914
264,dego,18.29%,17.99
265,mith,-10.82%,0.150941
266,nrg,0.82%,3.79
267,bel,-5.99%,5.22
268,ignis,15.91%,0.193948
269,oxy,5.32%,2.93
270,tvk,3.58%,0.671803
271,dusk,-2.49%,0.398512
272,susd,-0.22%,1.01
273,gas,7.96%,14.14
274,rly,2.09%,1.06
275,firo,3.82%,11.78
276,bifi,0.51%,1900.95
277,srk,26.59%,0.01728
278,morph,2.09%,2.90
279,vite,10.60%,0.284891
280,frm,2.99%,0.8875
281,arpa,2.90%,0.128946
282,nuls,8.55%,1.35
283,lbc,18.48%,0.256508
284,gusd,-0.27%,0.989816
285,trb,13.80%,84.65
286,edrp,10.00%,0.088173
287,cru,-1.79%,79.37
289,ctk,-0.39%,3.51
290,mxc,-1.79%,0.050674
291,solve,11.31%,0.342238
292,api3,2.39%,9.31
293,hard,2.99%,2.35
294,abbc,6.60%,0.150752
296,wozx,0.18%,1.71
297,dao,-2.11%,6.29
298,dsla,-6.99%,0.01863
299,front,-2.57%,3.29
300,titan,15.00%,2.25
301,contentos,3.81%,0.040723
302,pivx,-1.15%,1.81
303,vid,-17.39%,0.782635
304,yfii,-4.90%,3041.93
305,phx,2.52%,0.034324
306,sero,32.24%,0.370797
307,revv,-11.94%,0.414661
308,nwc,-9.81%,0.729806
309,vsys,2.08%,0.049506
310,nxs,1.48%,1.57
311,perl,-8.74%,0.223414
312,key,-4.01%,0.023968
313,wicc,6.46%,0.5204
314,pcx,14.87%,14.04
315,drgn,-1.38%,0.291516
316,beam,4.23%,1.27
318,idex,9.35%,0.185626
319,aergo,25.62%,0.402416
320,paxg,-1.68%,1752.09
321,hegic,0.78%,0.247648
322,cnd,3.05%,0.052954
324,emc2,28.37%,0.462497
325,nest,3.45%,0.051
326,mass,4.43%,1.05
327,loc,15.68%,6.65
328,arrr,24.50%,0.558339
329,drep,5.17%,2.46
330,hxro,1.66%,0.438402
331,grin,-0.66%,1.40
332,cream,-0.55%,157.50
333,hpt,2.55%,0.01567
334,ring,0.11%,0.202265
335,unfi,0.87%,27.05
336,stpt,6.91%,0.091351
338,sparta,11.99%,1.44
339,fio,-3.18%,0.397921
340,swth,-0.83%,0.073911
341,zee,-16.84%,2.33
342,sky,1.00%,4.45
343,nxt,30.07%,0.08869
344,dock,-1.38%,0.132099
345,dcn,11.07%,0.000159
346,maps,8.61%,1.40
347,suku,2.09%,0.74273
348,rcn,3.67%,0.169336
349,gto,0.87%,0.112313
350,xyo,-3.12%,0.006689
351,loki,6.22%,1.59
352,qsp,-0.67%,0.119248
353,dag,-5.20%,0.065123
354,fxs,3.06%,8.31
355,cvp,23.35%,3.60
356,easy,-2.90%,32.93
357,aoa,-6.37%,0.007564
359,mhc,-1.28%,0.031662
360,pro,30.50%,1.11
361,hmr,0.30%,0.151724
362,bft,-6.82%,0.105556
363,wabi,-5.97%,0.772932
364,meme,-4.03%,2714.00
365,sntvt,-16.52%,0.021348
366,tmtg,-0.63%,0.00948
367,ctxc,9.29%,0.299671
368,prom,5.25%,12.25
369,burger,6.72%,6.12
370,juld,9.65%,0.198145
372,pnetwork,-5.88%,2.56
373,ast,-4.08%,0.4818
374,torn,-0.73%,132.40
375,dexe,-0.44%,24.72
376,fsn,4.70%,1.43
377,bor,-0.59%,837.17
378,nas,-3.08%,1.19
379,soul,2.78%,0.710834
380,tru,5.14%,0.4912
381,dac,3.37%,0.013928
382,soc,50.61%,0.045688
383,pnk,-6.23%,0.11131
384,dora,11.62%,44.23
385,mdt,19.67%,0.101
386,gxs,4.74%,1.11
387,pai,-1.37%,0.043081
388,insur,3.19%,8.05
389,trtl,-13.66%,0.000656
390,xdb,-5.58%,0.082391
391,rdn,4.49%,1.25
392,vidt,-6.21%,1.27
393,vidy,-5.35%,0.006292
394,fida,9.17%,2.36
395,nav,7.59%,0.847829
396,cocos,2.68%,1.44
397,helmet,1.83%,2.23
398,bax,22.66%,0.001269
399,gvt,10.98%,13.29
400,xrt,6.81%,60.31
401,tct,19.53%,0.079728
402,autofarm,11.64%,3978.54
404,ncash,-8.21%,0.008091
405,dbc,6.64%,0.017742
406,eurs,0.40%,1.19
407,nebl,2.03%,3.24
408,xsn,4.36%,0.47574
409,bmi,-1.58%,2.22
410,qash,-9.50%,0.153076
411,kan,4.07%,0.005981
412,for,44.70%,0.120613
413,ghst,-0.38%,1.25
414,zap,3.09%,0.21646
415,polk,5.23%,2.21
417,any,1.51%,2.69
418,game,1.22%,0.353205
419,suter,6.13%,0.012832
420,cxo,21.95%,0.293482
421,bao,-6.02%,0.001397
422,mta,-1.73%,2.75
423,appc,2.05%,0.192613
424,wpr,-0.08%,0.066911
425,brd,1.00%,0.509631
426,etp,-9.32%,0.585726
427,peak,1.99%,0.407947
428,anw,-1.22%,0.1622
429,kp3r,-3.15%,223.18
431,wxt,-2.68%,0.01164
432,cusd,0.20%,1.00
433,lym,-10.44%,0.052627
434,fis,5.34%,3.87
435,bigonetoken,1.78%,0.004519
436,dero,4.43%,3.96
437,sha,2.09%,0.0138
438,bux,-2.34%,0.707341
439,dht,6.49%,4.08
440,orai,-7.02%,41.44
441,dgd,-0.12%,395.81
442,vtc,-0.48%,0.679825
443,cudos,1.12%,0.065
444,met,8.72%,3.45
445,mof,1.96%,0.464344
446,uft,-3.35%,2.59
447,via,0.66%,1.69
448,ost,4.34%,0.051203
449,crpt,7.73%,0.456631
450,poa,9.10%,0.13093
451,oax,2.88%,0.488223
452,cdt,3.09%,0.052969
453,hit,-8.28%,0.000579
454,goose,1.72%,25.95
455,nix,-8.74%,0.717719
456,tone,-7.31%,0.061524
457,cmt,25.83%,0.042238
458,rfuel,2.09%,0.1321
459,psg,2.46%,25.69
460,qrl,-4.88%,0.442525
461,props,0.13%,0.10386
462,opct,7.34%,0.387245
463,qlc,6.52%,0.130353
464,ltx,-1.33%,1.08
465,new,-2.40%,0.001502
466,layer,-0.99%,1.54
467,apix,8.91%,0.2529
468,mda,6.28%,1.56
469,mth,3.30%,0.074527
470,wom,16.89%,0.295589
471,block,17.85%,3.92
472,wasp,-3.25%,0.371851
473,gbyte,0.84%,38.28
474,dlt,-4.64%,0.28334
476,burst,1.55%,0.013464
477,evx,14.58%,1.26
478,pay,-13.24%,0.1383
479,true,13.38%,0.3482
480,act,15.86%,0.027997
481,ppc,-3.73%,1.02
482,mtv,34.06%,0.007613
483,cover,-6.00%,445.41
484,snm,1.71%,0.075108
485,flux,-6.81%,0.183174
487,kat,-7.91%,0.012228
488,adk,10.35%,1.07
489,ducato,16.18%,20.56
490,armor,1.41%,1.26
491,sngls,5.03%,0.043061
492,abt,-0.69%,0.2601
493,lba,1.03%,0.011319
494,efx,-3.17%,0.0989
495,vib,13.73%,0.125396
496,dgtx,19.71%,0.026242
497,smart,-0.37%,0.017429
498,strong,4.40%,173.45
499,ach,-4.75%,0.014305
500,xsr,2.81%,0.00512
